Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-04-28,19.1298,19.3212,18.9386,19.082,877.16278665777
2022-04-29,18.9386,19.2256,18.7951,18.7951,2062.7439547983
2022-05-02,19.1298,19.1298,18.9386,19.1298,334.55553245588
2022-05-04,19.1298,19.1298,19.1298,19.1298,174.59616850041
2022-05-05,19.3212,19.3212,19.3212,19.3212,42.86492759591
2022-05-06,18.8429,19.1298,18.2691,19.1298,8607.4865584665
2022-05-09,19.1298,19.1298,18.4125,18.4125,1572.4110025427
2022-05-10,18.4603,18.6994,18.4125,18.4125,1620.5033603332
2022-05-11,18.6994,18.6994,18.2691,18.3647,659.70169056145
2022-05-12,18.6516,18.6516,18.1733,18.3169,1387.359973653
2022-05-13,18.556,18.556,18.1255,18.4125,1468.9078846891
2022-05-16,18.556,18.8429,18.4125,18.8429,1407.2242083926
2022-05-17,18.8429,19.082,18.8429,19.082,1784.6446684444
2022-05-18,18.4603,18.4603,18.1733,18.3169,7397.8592114307
2022-05-19,18.1733,18.1733,17.6473,17.6473,3781.5230027904
2022-05-20,17.5995,18.6516,17.2168,18.6516,10918.01070449
2022-05-23,18.6516,19.5124,18.2211,19.4168,39983.568072634
2022-05-24,19.4168,19.4168,18.6994,19.082,794.56938958272
2022-05-25,19.1298,19.1298,18.6516,18.6516,54.365274024081
2022-05-26,18.6516,18.6994,18.6516,18.6994,613.70030484876
2022-05-27,19.082,19.082,18.9864,18.9864,170.41422434472
2022-05-30,19.082,19.082,18.6516,18.7473,531.10690777372
2022-05-31,18.6516,18.6994,18.6516,18.6516,699.43016004058
2022-06-01,18.7473,19.2256,18.6516,19.2256,5845.3124436277
2022-06-02,19.3212,20.2777,18.9386,18.9386,12610.652601509
2022-06-03,20.182,20.2777,19.2256,20.0863,11409.389142785
2022-06-06,19.9907,20.0863,19.7994,20.0863,1371.6776830691
2022-06-07,20.182,20.2777,19.7994,20.2777,16986.011674409
2022-06-08,20.3733,20.3733,19.7038,19.7038,3278.6442180677
2022-06-09,19.3174,19.3174,18.4481,18.8345,807.56183742
2022-06-10,19.2691,19.3174,19.2691,19.3174,384.109540619
2022-06-13,19.3174,19.3174,18.3515,18.6413,1915.37102465
2022-06-14,18.9311,18.9311,17.9652,18.2549,3192.975264876
2022-06-15,18.9311,18.9311,17.9652,17.9652,679.180211984
2022-06-17,18.3032,18.3515,17.8686,18.3032,843.798586535
2022-06-20,18.3515,18.3515,17.8203,18.2549,576.681978773
2022-06-21,18.2549,18.2549,17.3857,18.0135,8910.098939534
2022-06-22,18.1101,18.1101,17.6754,17.8686,740.265017635
2022-06-23,18.0135,18.0135,17.8203,17.8686,408.957597155
2022-06-24,17.5305,17.772,17.5305,17.772,565.293286194
2022-06-27,18.0618,18.0618,17.5305,17.8203,993.92226144
2022-06-28,17.6271,18.0135,17.4823,17.4823,2387.484098834
2022-06-29,17.5788,18.5447,17.4823,18.5447,2218.724381527
2022-06-30,18.5447,18.5447,18.3515,18.3515,741.300353324
2022-07-01,18.3998,18.3998,18.3515,18.3515,1882.240282602
2022-07-04,18.3515,18.5447,17.6754,17.6754,3708.572437998
2022-07-05,17.6754,18.3032,17.6754,17.6754,409.992932844
2022-07-06,17.8686,17.8686,17.3857,17.3857,4201.392225962
2022-07-07,17.6754,17.8686,17.5788,17.5788,835.515901023
2022-07-08,17.4823,18.3032,17.4823,18.1584,10278.812720392
2022-07-11,18.1584,18.4964,17.8686,17.9652,1239.296819733
2022-07-12,18.2067,18.2067,17.6271,17.6271,1262.074204891
2022-07-13,18.1584,18.1584,17.6271,18.0135,35.201413426
2022-07-14,18.0135,18.0135,17.434,18.0135,1051.901060024
2022-07-15,17.8686,17.8686,17.434,17.434,365.473498217
2022-07-18,17.434,17.8686,17.3857,17.8686,2171.098939833
2022-07-19,17.8686,17.8686,17.2891,17.2891,1226.872791465
2022-07-20,17.6271,17.7237,17.4823,17.6754,1012.558303842
2022-07-21,17.6754,17.6754,17.3374,17.3374,1192.706713728
2022-07-22,17.5305,17.5788,17.3374,17.5788,2058.247349732
2022-07-25,17.772,17.772,17.3374,17.3374,2721.897526381
2022-07-26,17.5788,17.5788,17.3374,17.4823,418.275618356
2022-07-27,17.4823,17.4823,17.2891,17.4823,1216.519434575
2022-07-28,17.4823,17.4823,17.3374,17.3857,1270.356890403
2022-07-29,17.4823,17.4823,17.2408,17.3374,2385.413427456
2022-08-01,17.5788,17.6271,17.2891,17.3374,6663.420494404
2022-08-02,17.5788,17.5788,17.2891,17.434,5004.812720626
2022-08-03,17.5788,17.5788,17.2891,17.4823,5809.268550979
2022-08-04,17.5788,17.5788,17.2891,17.3857,486.60777383
2022-08-05,17.4823,17.4823,17.3374,17.3857,1637.901059998
2022-08-08,17.5305,17.5305,17.1925,17.2408,1782.848056458
2022-08-09,17.1925,17.4823,17.1925,17.4823,1085.031802072
2022-08-10,17.5305,17.5305,17.2408,17.2408,1118.16254412
2022-08-11,17.434,17.5305,17.3857,17.5305,100.427561833
2022-08-12,17.434,17.5305,17.1925,17.1925,2248.749116508
2022-08-16,17.5305,17.5305,16.7096,17.0476,5144.583038641
2022-08-17,17.2891,17.3374,16.9027,17.0476,1776.636042324
2022-08-18,17.2408,17.2408,16.7096,17.0476,1389.420494638
2022-08-19,17.0476,17.0476,16.7096,16.7096,783.749116573
2022-08-22,16.7096,16.7096,16.5164,16.5647,2311.904593537
2022-08-23,16.7578,17.2891,16.5647,16.7578,8081.830388334
2022-08-24,16.8061,16.8061,16.4198,16.7096,1295.204946939
2022-08-25,16.7096,16.7096,16.4198,16.5164,561.151943438
2022-08-26,16.7096,16.9027,16.5164,16.6613,1730.045936319
2022-08-29,16.6613,16.6613,15.8403,16.2266,4427.095406164
2022-08-30,16.2266,16.2749,15.8886,15.8886,2568.667844409
2022-08-31,16.1783,16.2266,15.4539,15.6954,2888.58657231
2022-09-01,15.6954,15.6954,15.5022,15.6954,2941.388692449
2022-09-02,16.0334,16.0334,15.5505,15.6471,1506.413427495
2022-09-05,15.6471,15.6471,14.7778,15.0676,5369.250883154
2022-09-06,15.1642,15.1642,14.4881,14.5846,9545.79505258
2022-09-07,14.5846,14.9227,14.3915,14.4398,2741.568904472
2022-09-08,14.6329,14.6329,14.3915,14.3915,1553.0035335
2022-09-09,14.6812,14.6812,14.2949,14.2949,4639.339222409
2022-09-12,14.5363,14.6812,14.5363,14.6812,1079.855123627
2022-09-13,14.7295,14.7295,14.3915,14.4881,1724.869257874
2022-09-14,14.5846,14.6329,13.7154,14.6329,4046.091872612
2022-09-15,14.4881,14.6329,14.1983,14.4398,1765.247349745
2022-09-16,14.5846,14.6329,14.2949,14.4881,412.063604222
2022-09-19,14.5363,14.6329,14.1983,14.4881,848.97526498
2022-09-20,14.7778,14.7778,14.2949,14.5846,3499.43462882
2022-09-21,14.2949,14.4398,14.0534,14.4398,23597.371023688
2022-09-22,14.4398,14.4398,14.1017,14.1017,2076.883392134
2022-09-23,14.2466,14.2466,13.7154,13.7154,2836.81978786
